Student_ID,First Name,Last Name,Email,Gender,Age,Attendance (%),Study_hours_per_day,Midterm_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Final_Score
90,Lori,Brandt,lori.brandt79@edu.com,Female,22,90,20,42,78,48,9,81.68
91,Maria,Garcia,maria.garcia6@edu.com,Female,18,80,11,87,46,86,4,93.28
92,Emily,Baker,emily.baker70@edu.com,Male,21,90,13,95,100,61,0,99.09
93,Benjamin,Deleon,benjamin.deleon49@edu.com,Female,19,82,19,88,89,65,3,98.04
94,Kenneth,Hall,kenneth.hall17@edu.com,Female,21,98,2,96,88,84,1,91.33
95,Kayla,Ramirez,kayla.ramirez66@edu.com,Female,19,65,23,55,48,42,8,74.26
96,Evelyn,White,evelyn.white97@edu.com,Male,22,77,18,64,62,80,5,84.59
97,Jacob,Martinez,jacob.martinez74@edu.com,Female,20,78,13,87,47,53,0,78.41
98,Raymond,Robertson,raymond.robertson89@edu.com,Male,21,78,22,46,62,70,8,84.62
99,Gloria,Bradford,gloria.bradford52@edu.com,Female,20,100,8,78,48,76,6,83.53
100,Justin,Boyd,justin.boyd7@edu.com,Male,18,77,13,57,76,65,5,82.04
101,Laurie,Lambert,laurie.lambert84@edu.com,Female,19,63,10,57,40,41,4,61.45
102,Carolyn,Cox,carolyn.cox42@edu.com,Female,19,90,23,92,61,49,5,100.0
103,Thomas,Schwartz,thomas.schwartz60@edu.com,Female,18,74,10,37,41,90,3,63.23
104,Tamara,Williams,tamara.williams26@edu.com,Male,21,85,11,99,81,56,10,98.04
105,Zachary,Taylor,zachary.taylor57@edu.com,Male,18,88,12,35,42,37,8,57.15
106,Stacey,Lam,stacey.lam91@edu.com,Female,18,78,18,44,86,33,10,79.73
107,Sheri,Harper,sheri.harper64@edu.com,Female,19,91,6,48,67,30,6,58.89
108,Tyler,Smith,tyler.smith85@edu.com,Male,20,89,18,39,43,45,7,66.66
109,Janice,James,janice.james15@edu.com,Female,21,63,11,38,77,60,6,71.13
110,Brianna,Garcia,brianna.garcia68@edu.com,Female,19,83,23,44,67,54,7,83.04
111,Brian,Griffin,brian.griffin59@edu.com,Male,20,64,2,84,61,67,3,69.15
112,James,Gray,james.gray7@edu.com,Female,19,79,9,94,70,93,8,99.8
113,Willie,Pham,willie.pham69@edu.com,Male,22,87,13,32,58,68,10,69.96
114,Laurie,Jones,laurie.jones3@edu.com,Female,22,70,24,86,99,87,7,100.0
115,Robert,Guzman,robert.guzman46@edu.com,Female,20,63,11,96,85,45,2,87.16
116,Joanna,Rowland,joanna.rowland98@edu.com,Male,19,62,0,78,50,56,6,62.89
117,Amy,Jenkins,amy.jenkins81@edu.com,Male,20,74,16,45,66,78,7,76.88
118,Melissa,Griffin,melissa.griffin9@edu.com,Male,21,65,18,63,49,64,5,73.84
119,Kevin,Brown,kevin.brown13@edu.com,Male,19,80,0,43,57,43,2,50.67
120,Scott,Smith,scott.smith96@edu.com,Male,18,94,3,87,77,79,7,87.61
121,Casey,Schultz,casey.schultz43@edu.com,Female,19,100,15,34,78,94,3,85.89
122,William,Duncan,william.duncan40@edu.com,Male,20,79,22,69,77,93,10,100.0
123,Mitchell,Schneider,mitchell.schneider8@edu.com,Male,20,94,11,55,85,41,8,77.54
124,Martha,Spencer,martha.spencer26@edu.com,Female,21,86,20,71,61,75,5,91.52
125,Adrian,Curtis,adrian.curtis14@edu.com,Female,21,95,6,38,82,81,0,69.55
126,Amy,Ward,amy.ward78@edu.com,Male,20,95,3,55,69,76,10,68.19
127,Angela,Oliver,angela.oliver73@edu.com,Male,21,62,8,65,41,91,7,70.52
128,Teresa,Taylor,teresa.taylor36@edu.com,Male,18,63,6,39,41,59,5,55.79
129,William,Campbell,william.campbell99@edu.com,Female,18,72,0,76,82,30,0,63.37
130,Sandra,Duke,sandra.duke2@edu.com,Male,22,71,21,82,95,31,1,97.27
131,Brooke,Martin,brooke.martin82@edu.com,Female,22,75,7,90,54,64,9,79.63
132,Tanya,Day,tanya.day63@edu.com,Male,18,93,14,89,96,41,5,96.47
133,Joshua,May,joshua.may73@edu.com,Female,18,78,0,65,95,52,1,71.47
134,Nicholas,Smith,nicholas.smith4@edu.com,Male,19,93,19,81,91,81,3,100.0
135,Danielle,Williams,danielle.williams72@edu.com,Male,21,65,21,32,81,73,6,82.75
136,Edward,Parks,edward.parks22@edu.com,Female,21,73,4,65,44,92,5,70.49
137,Joel,White,joel.white37@edu.com,Male,22,83,1,54,80,54,7,65.42
138,Patricia,Reynolds,patricia.reynolds49@edu.com,Female,19,69,4,37,75,49,9,62.38
139,Kimberly,Obrien,kimberly.obrien39@edu.com,Male,21,88,1,47,80,72,6,62.83
140,Rose,Garcia,rose.garcia22@edu.com,Female,20,70,12,57,88,81,10,94.28
141,Michael,White,michael.white94@edu.com,Male,18,74,19,42,71,79,8,82.6
142,Jennifer,Ford,jennifer.ford18@edu.com,Male,22,79,19,41,67,66,5,75.71
143,Kara,Brown,kara.brown87@edu.com,Male,20,96,13,82,66,48,10,89.87
144,Gerald,Kemp,gerald.kemp6@edu.com,Male,21,93,2,97,50,30,6,73.5
145,Matthew,Morgan,matthew.morgan82@edu.com,Female,22,83,22,91,42,70,1,94.24
146,Bryan,Juarez,bryan.juarez79@edu.com,Male,18,71,17,93,85,30,3,91.44
147,Brian,Jones,brian.jones29@edu.com,Male,19,69,0,89,99,62,0,83.28
148,Daniel,Perkins,daniel.perkins92@edu.com,Female,22,94,22,33,54,94,6,79.04
149,Eric,Thomas,eric.thomas88@edu.com,Male,21,91,2,48,79,49,1,64.69
150,Jeffrey,Mcguire,jeffrey.mcguire79@edu.com,Male,18,61,18,35,88,52,0,80.97
151,Richard,Mclaughlin,richard.mclaughlin61@edu.com,Female,19,87,5,47,53,83,7,69.57
152,Jose,Mcdonald,jose.mcdonald34@edu.com,Female,22,92,23,92,75,53,6,100.0
153,Latoya,Ellis,latoya.ellis38@edu.com,Male,19,81,3,32,45,87,8,55.62
154,Katherine,Lee,katherine.lee42@edu.com,Female,18,73,0,45,94,76,7,78.44
155,Travis,Lang,travis.lang78@edu.com,Female,21,90,2,86,42,81,5,75.67
156,Dana,Buck,dana.buck20@edu.com,Female,22,88,12,59,96,77,4,92.16
157,Kelly,Flynn,kelly.flynn35@edu.com,Female,22,87,22,72,61,77,4,93.55
158,Megan,Stein,megan.stein39@edu.com,Female,19,67,20,74,70,56,5,95.11
159,Joel,Clarke,joel.clarke31@edu.com,Female,21,77,12,57,52,78,6,78.19
160,Jacqueline,Ellis,jacqueline.ellis90@edu.com,Female,18,97,19,78,80,84,6,100.0
161,Elizabeth,Lee,elizabeth.lee47@edu.com,Male,18,79,4,35,41,77,9,57.92
162,Jessica,Johnson,jessica.johnson87@edu.com,Female,21,97,8,48,85,85,9,85.45
163,Benjamin,Cisneros,benjamin.cisneros39@edu.com,Male,19,98,24,58,50,65,9,84.7
164,Cynthia,Sullivan,cynthia.sullivan34@edu.com,Female,18,87,2,79,45,51,10,64.77
165,Joshua,Contreras,joshua.contreras75@edu.com,Male,18,91,5,94,63,73,0,83.1
166,Julia,Sims,julia.sims4@edu.com,Male,20,98,8,42,88,39,4,70.53
167,John,Melendez,john.melendez77@edu.com,Female,19,70,2,45,91,89,10,76.88
168,Douglas,Smith,douglas.smith78@edu.com,Female,22,75,12,100,70,87,8,96.09
169,Ian,Ortega,ian.ortega49@edu.com,Female,21,90,19,46,96,70,0,91.06
170,Teresa,Ford,teresa.ford92@edu.com,Male,19,91,5,63,87,89,8,84.33
171,Andre,Evans,andre.evans30@edu.com,Female,22,96,15,92,86,75,3,100.0
172,Brandon,Brooks,brandon.brooks83@edu.com,Female,22,60,7,37,63,59,6,63.09
173,Beth,Gordon,beth.gordon42@edu.com,Male,21,65,18,77,81,93,4,100.0
174,John,Hawkins,john.hawkins89@edu.com,Male,18,95,9,50,50,92,10,76.37
175,Lisa,Wilson,lisa.wilson2@edu.com,Female,19,90,12,77,46,66,7,78.96
176,Joshua,Kelley,joshua.kelley89@edu.com,Male,22,62,3,75,82,72,0,82.43
177,Megan,Gregory,megan.gregory10@edu.com,Male,18,94,9,63,67,56,9,79.51
178,Todd,Diaz,todd.diaz22@edu.com,Male,18,74,9,63,55,45,0,69.48
179,Tiffany,Ochoa,tiffany.ochoa89@edu.com,Male,18,69,17,69,55,31,8,78.55
180,Jocelyn,Ford,jocelyn.ford19@edu.com,Male,18,70,7,86,98,37,8,89.54
181,Jacqueline,Francis,jacqueline.francis35@edu.com,Female,19,60,8,81,88,38,2,82.17
182,Barbara,Reyes,barbara.reyes13@edu.com,Female,18,91,16,63,44,35,5,77.45
183,Sharon,Johnson,sharon.johnson80@edu.com,Male,19,96,23,56,92,55,1,88.54
184,David,Andrade,david.andrade56@edu.com,Female,22,82,22,46,70,42,10,85.14
185,Amanda,Banks,amanda.banks70@edu.com,Female,20,63,13,65,65,55,9,82.43
186,Kayla,Williams,kayla.williams16@edu.com,Male,22,82,7,54,59,80,8,69.17
187,Stephen,Schwartz,stephen.schwartz81@edu.com,Female,19,91,21,32,71,94,0,84.99
188,Sarah,Patterson,sarah.patterson79@edu.com,Female,21,80,3,67,82,67,4,76.35
189,Katelyn,Garcia,katelyn.garcia33@edu.com,Female,22,96,1,74,54,70,0,68.64
190,Eric,Graham,eric.graham9@edu.com,Female,18,63,1,37,88,91,2,69.76
191,Emily,Bailey,emily.bailey52@edu.com,Male,21,100,6,63,42,86,9,77.8
192,Brittany,Wright,brittany.wright21@edu.com,Male,18,89,18,72,75,65,8,88.82
193,Cathy,Flynn,cathy.flynn30@edu.com,Female,20,69,13,80,48,70,1,76.78
194,Maria,Miller,maria.miller99@edu.com,Female,20,73,0,77,73,95,5,85.23
195,Sarah,Wilson,sarah.wilson64@edu.com,Female,19,96,18,45,56,54,10,75.53
196,Jared,Santana,jared.santana24@edu.com,Male,21,91,22,62,81,71,1,94.81
197,William,Dickerson,william.dickerson88@edu.com,Female,20,60,8,48,61,73,0,63.64
198,Steven,Cohen,steven.cohen97@edu.com,Female,19,70,5,72,53,91,2,78.85
199,Lisa,Beltran,lisa.beltran48@edu.com,Female,22,64,15,76,65,44,8,85.75
200,Aaron,Haynes,aaron.haynes64@edu.com,Female,20,89,18,49,53,37,2,75.32
201,Karen,Torres,karen.torres80@edu.com,Male,22,96,17,74,61,56,4,87.45
202,Mary,Hunter,mary.hunter85@edu.com,Male,20,88,16,63,53,82,4,83.53
203,Chad,Austin,chad.austin57@edu.com,Male,20,69,8,60,92,61,10,77.67
204,Adam,Park,adam.park66@edu.com,Female,20,68,1,41,71,73,7,61.74
205,Karen,Barajas,karen.barajas73@edu.com,Female,18,75,17,68,80,81,1,86.48
206,Erica,Lewis,erica.lewis27@edu.com,Male,19,74,15,69,78,36,5,78.04
207,Mia,Reyes,mia.reyes7@edu.com,Female,22,66,23,58,80,79,6,91.76
208,Walter,Dunn,walter.dunn74@edu.com,Female,18,90,8,43,45,84,4,66.88
209,April,Jackson,april.jackson14@edu.com,Female,22,66,0,41,91,34,6,60.35
210,Brian,Elliott,brian.elliott76@edu.com,Female,22,60,0,40,99,58,9,70.43
211,Jocelyn,Lopez,jocelyn.lopez15@edu.com,Male,20,94,9,91,67,87,3,96.14
212,Nathan,Barnes,nathan.barnes20@edu.com,Male,20,89,17,34,59,65,3,73.05
213,Lawrence,Smith,lawrence.smith8@edu.com,Female,21,76,20,78,79,80,6,97.19
214,Dominique,Stanton,dominique.stanton25@edu.com,Male,22,63,13,37,40,51,6,53.48
215,Yolanda,Hernandez,yolanda.hernandez55@edu.com,Female,20,74,7,89,51,61,5,77.21
216,Kristina,Carter,kristina.carter46@edu.com,Male,19,87,14,46,70,43,4,71.02
217,Marilyn,Cox,marilyn.cox56@edu.com,Female,19,100,10,36,84,41,5,71.78
218,April,White,april.white37@edu.com,Female,20,82,0,94,76,80,7,91.93
219,Deborah,Williams,deborah.williams31@edu.com,Male,21,84,5,96,76,94,7,100.0
220,Katherine,Matthews,katherine.matthews5@edu.com,Female,18,79,11,38,93,58,4,73.43
221,Christian,Jackson,christian.jackson40@edu.com,Female,22,91,1,92,93,87,7,95.66
222,Tina,Nelson,tina.nelson79@edu.com,Female,18,94,0,92,75,83,4,85.2
223,Samantha,Murray,samantha.murray9@edu.com,Male,20,99,0,31,70,32,1,49.63
224,Dylan,Knight,dylan.knight63@edu.com,Female,18,74,11,67,50,67,10,74.56
225,Beth,Johnson,beth.johnson24@edu.com,Female,18,96,8,82,53,93,10,86.43
226,Charles,Martin,charles.martin67@edu.com,Female,21,92,19,65,90,84,0,95.35
227,Thomas,Murphy,thomas.murphy29@edu.com,Male,21,63,12,68,87,53,1,86.3
228,Megan,Jackson,megan.jackson99@edu.com,Male,19,90,23,98,47,58,8,100.0
229,Brenda,Mcneil,brenda.mcneil74@edu.com,Male,19,74,9,100,72,73,9,100.0
230,Emily,Miller,emily.miller23@edu.com,Female,19,93,15,74,96,69,1,100.0
231,Shelby,Acevedo,shelby.acevedo44@edu.com,Female,18,97,19,64,77,54,8,92.0
232,Kaitlyn,Howe,kaitlyn.howe19@edu.com,Female,22,98,16,59,85,92,9,95.06
233,Ricky,Chambers,ricky.chambers92@edu.com,Male,18,62,12,56,86,33,8,79.13
234,Erin,Harris,erin.harris37@edu.com,Female,19,73,0,82,84,55,8,76.84
235,Karen,Richardson,karen.richardson12@edu.com,Male,22,87,23,32,91,37,0,74.93
236,Gregory,Watkins,gregory.watkins62@edu.com,Male,20,82,12,49,86,72,4,84.65
237,Matthew,Harmon,matthew.harmon72@edu.com,Female,22,91,11,36,81,41,10,64.62
238,Steven,Shah,steven.shah23@edu.com,Female,20,93,18,64,81,33,9,84.91
239,Ralph,Lewis,ralph.lewis73@edu.com,Female,18,68,23,34,51,35,10,71.31
240,Todd,Manning,todd.manning32@edu.com,Female,22,60,4,58,74,35,3,62.51
241,Alyssa,Meyers,alyssa.meyers31@edu.com,Male,21,62,19,85,66,83,5,96.31
242,Kimberly,Hansen,kimberly.hansen11@edu.com,Male,19,83,6,68,65,92,2,81.67
243,Jill,Nguyen,jill.nguyen28@edu.com,Male,19,63,22,53,54,90,5,83.55
244,Patrick,Duncan,patrick.duncan37@edu.com,Female,20,99,15,92,84,43,4,96.01
245,James,Johnson,james.johnson40@edu.com,Female,21,70,0,31,96,54,3,56.53
246,Heather,Melton,heather.melton34@edu.com,Female,19,78,15,58,57,47,9,76.0
247,Jeffrey,Goodwin,jeffrey.goodwin82@edu.com,Female,19,93,0,98,67,81,7,87.55
248,Matthew,Stevens,matthew.stevens78@edu.com,Male,18,70,18,56,65,57,1,78.19
249,James,Randolph,james.randolph51@edu.com,Male,18,62,16,53,61,46,1,73.79
250,Ebony,Brown,ebony.brown19@edu.com,Male,20,98,14,58,43,51,10,71.39
251,Elizabeth,Chung,elizabeth.chung8@edu.com,Female,22,90,24,49,60,51,2,83.58
252,Judy,Parker,judy.parker65@edu.com,Female,18,94,17,32,86,89,10,87.07
253,Crystal,Baker,crystal.baker85@edu.com,Male,19,94,19,50,86,46,1,79.43
254,Shawn,Casey,shawn.casey59@edu.com,Female,22,98,10,42,89,55,10,76.59
255,Rachel,Mcgee,rachel.mcgee59@edu.com,Male,20,91,10,53,84,71,0,76.36
256,Julie,Gallegos,julie.gallegos83@edu.com,Male,22,81,7,65,82,32,10,73.17
257,Jeffery,Phillips,jeffery.phillips37@edu.com,Male,22,72,18,57,56,78,7,83.19
258,Ernest,Romero,ernest.romero95@edu.com,Male,18,98,6,57,99,88,2,84.31
259,Jason,Hopkins,jason.hopkins33@edu.com,Female,22,75,3,73,47,88,6,72.75
260,Cynthia,Mendoza,cynthia.mendoza41@edu.com,Female,20,99,14,61,47,90,6,81.66
261,Kristen,Higgins,kristen.higgins20@edu.com,Female,21,70,5,46,90,37,7,66.81
262,Timothy,Ferguson,timothy.ferguson62@edu.com,Female,18,72,20,35,86,49,3,77.49
263,Michael,Morales,michael.morales30@edu.com,Female,18,91,5,77,50,42,10,72.59
264,Kimberly,Brady,kimberly.brady4@edu.com,Male,20,95,7,92,52,62,10,82.7
265,Larry,Jenkins,larry.jenkins42@edu.com,Female,21,66,14,38,100,82,3,84.73
266,Jesse,Clark,jesse.clark58@edu.com,Female,20,65,3,63,67,89,5,72.06
267,Mark,Mack,mark.mack79@edu.com,Male,21,79,9,53,65,44,4,66.74
268,Katherine,Hansen,katherine.hansen11@edu.com,Female,18,68,5,98,74,87,6,92.59
269,Laurie,Monroe,laurie.monroe69@edu.com,Male,22,74,5,70,77,64,1,78.42
270,Thomas,Coffey,thomas.coffey91@edu.com,Female,22,99,12,60,99,35,10,88.94
271,Katie,Perez,katie.perez24@edu.com,Female,19,92,12,88,87,42,2,95.18
272,Joshua,Davis,joshua.davis80@edu.com,Female,19,87,4,91,88,32,3,79.87
273,Jose,Daniel,jose.daniel16@edu.com,Male,21,92,24,47,55,39,5,75.05
274,Andrea,Mullins,andrea.mullins13@edu.com,Male,18,76,22,97,74,77,2,100.0
275,Misty,Wells,misty.wells29@edu.com,Female,20,87,19,53,89,95,3,98.58
276,Cheryl,Frederick,cheryl.frederick66@edu.com,Male,21,84,7,70,86,91,6,88.96
277,Catherine,Poole,catherine.poole80@edu.com,Female,18,62,23,45,82,60,8,86.42
278,Anthony,Anderson,anthony.anderson93@edu.com,Male,20,69,9,43,51,85,10,70.92
279,Gabriel,Jackson,gabriel.jackson82@edu.com,Female,22,98,11,96,65,71,2,95.65
280,Jessica,Hill,jessica.hill44@edu.com,Male,21,83,6,90,63,66,4,80.33
281,Melanie,Ryan,melanie.ryan94@edu.com,Female,22,67,20,42,41,91,1,72.86
282,Aaron,Hernandez,aaron.hernandez10@edu.com,Female,20,89,0,89,81,90,2,93.68
283,Kathy,Rosario,kathy.rosario84@edu.com,Male,20,85,15,38,50,63,9,69.6
284,Julie,Thomas,julie.thomas83@edu.com,Female,18,67,19,77,42,74,9,86.56
285,David,Rivera,david.rivera10@edu.com,Male,19,70,14,99,48,77,9,90.64
286,Richard,Ford,richard.ford17@edu.com,Female,20,61,7,85,45,68,0,75.81
287,Sheila,Wright,sheila.wright20@edu.com,Male,22,85,11,73,58,31,0,75.21
288,James,Mcdonald,james.mcdonald3@edu.com,Female,21,73,22,38,56,32,1,74.17
289,Scott,Davis,scott.davis59@edu.com,Male,21,81,23,51,72,45,4,82.63
290,Katherine,Simpson,katherine.simpson25@edu.com,Female,22,77,16,41,53,43,5,66.79
291,Kayla,Robinson,kayla.robinson31@edu.com,Female,22,98,3,81,99,48,4,85.07
292,Michelle,Wiggins,michelle.wiggins80@edu.com,Male,18,67,0,45,77,30,5,57.21
293,Michael,Francis,michael.francis23@edu.com,Male,20,63,23,56,64,83,7,83.05
294,Chase,Walker,chase.walker85@edu.com,Female,21,96,21,56,78,32,8,77.77
295,Tina,Chang,tina.chang15@edu.com,Female,21,85,11,70,41,56,3,67.3
296,Emily,Alvarez,emily.alvarez99@edu.com,Female,18,98,19,45,96,54,6,87.43
297,Ryan,Wall,ryan.wall17@edu.com,Male,22,90,16,60,73,42,6,74.59
298,Dawn,Williams,dawn.williams5@edu.com,Male,18,76,24,61,78,55,10,95.38
299,Robert,Martinez,robert.martinez54@edu.com,Female,18,85,0,82,51,52,4,72.77
300,Angela,Morris,angela.morris62@edu.com,Male,20,81,13,54,80,87,5,79.02
301,Rebecca,Vasquez,rebecca.vasquez59@edu.com,Male,19,65,17,87,84,37,9,90.24
302,Michael,Lucas,michael.lucas51@edu.com,Male,20,71,1,37,47,30,0,40.04
303,Theresa,Delacruz,theresa.delacruz51@edu.com,Male,21,93,14,97,84,79,3,99.93
